1	GO:0001817,GO:0006629,GO:0050852	GO:0006811,GO:0006813,GO:0010389,GO:0034220,GO:0042391,GO:0055085,GO:0071805
10	GO:0003056,GO:0006940,GO:0007165,GO:0007173,GO:0007186,GO:0007193,GO:0007267,GO:0007565,GO:0010700,GO:0019229,GO:0030168,GO:0032811,GO:0043410,GO:0045666,GO:0045777,GO:0051897,GO:0070474,GO:0071875,GO:0071881	GO:0035195
10	GO:0007165,GO:0014823,GO:0035556,GO:0071476,GO:0097066,GO:1901380	GO:0008285,GO:0035195
10	GO:0000122,GO:0006325,GO:0016925,GO:0031507,GO:0032435,GO:0043066,GO:0045892,GO:0050821,GO:0090336	GO:0000122,GO:0000132,GO:0001701,GO:0001934,GO:0006325,GO:0006476,GO:0008544,GO:0009410,GO:0010467,GO:0031398,GO:0031647,GO:0031667,GO:0032008,GO:0032692,GO:0032720,GO:0032922,GO:0040029,GO:0042307,GO:0042752,GO:0043066,GO:0043525,GO:0045892,GO:0045944,GO:0046329,GO:0046826,GO:0048511,GO:0051225,GO:0060633,GO:0060816,GO:0061436,GO:0071260,GO:0071374,GO:0071498,GO:0071548,GO:0120162,GO:0140861,GO:0160020,GO:1903575,GO:2000676
10	GO:0000082	GO:0035195
10	GO:0006629,GO:0006637,GO:0006654,GO:0006656,GO:0007595,GO:0008610,GO:0008654,GO:0016024,GO:0019432	GO:0002250,GO:0002376,GO:0016064
10	GO:0003007,GO:0006942,GO:0007155,GO:0032971,GO:0045214,GO:0055010,GO:0060048,GO:0086004	GO:0002115,GO:0005513,GO:0006811,GO:0006816,GO:0006874,GO:0032237,GO:0045762,GO:0045766,GO:0051924,GO:0070166,GO:2001256
10	GO:0006744,GO:0007399,GO:0050773	GO:0035195
10	GO:0007283	GO:0006397,GO:0006406,GO:0006915,GO:0007417,GO:0008380,GO:0051028
10	GO:0006629,GO:0006665,GO:0006686,GO:0006688,GO:0008104,GO:0030148,GO:0046512,GO:0046513	GO:0006396
10	GO:0002250,GO:0002376,GO:0002407,GO:0002724,GO:0006811,GO:0007204,GO:0008284,GO:0010460,GO:0016925,GO:0019722,GO:0030001,GO:0030502,GO:0034220,GO:0035774,GO:0045600,GO:0045668,GO:0045907,GO:0051289,GO:0055085,GO:0070588,GO:0071318,GO:0086045,GO:0086047,GO:0086048,GO:0086091,GO:0090263,GO:0098655,GO:0098719,GO:0098911,GO:1903949,GO:1904179,GO:1904199	GO:0006396
100	GO:0002767	GO:0035195
100	GO:0006629,GO:0009395,GO:0019369,GO:0046464,GO:0046889,GO:0052651,GO:0099178,GO:0120163,GO:2001311	GO:0006617
100	GO:0006629,GO:0006637,GO:0009062	GO:0006396
100	GO:0006355,GO:0006412,GO:0006413,GO:0006417,GO:0031047,GO:0031054,GO:0033962,GO:0035194,GO:0035196,GO:0035278,GO:0035279,GO:0042985,GO:0045727,GO:0045766,GO:0045944,GO:0045947,GO:0060213,GO:0070922,GO:0090128,GO:0090625,GO:1900153,GO:1901165	GO:0000122,GO:0001951,GO:0003376,GO:0007159,GO:0008360,GO:0010628,GO:0022614,GO:0030033,GO:0030036,GO:0030953,GO:0031503,GO:0032532,GO:0040018,GO:0043622,GO:0045732,GO:0046847,GO:0050860,GO:0051017,GO:0051660,GO:0061028,GO:0070373,GO:0072659,GO:0072697,GO:0098974,GO:0141156,GO:1902115,GO:1902207,GO:1902896,GO:1902966,GO:1903078,GO:1903753,GO:2000643
100	GO:0006629,GO:0006869,GO:0007608,GO:0034220,GO:0061589,GO:0070588,GO:1902476	GO:0006547,GO:0006548
100	GO:0007264,GO:0008360,GO:0030036,GO:0035023,GO:0051497,GO:0150105	GO:0007165,GO:0007173,GO:0007517,GO:0008284,GO:0010561,GO:0016477,GO:0030307,GO:0030335,GO:0035313,GO:0038134,GO:0038135,GO:0048661,GO:0051549,GO:0051897,GO:0060326,GO:0090303
100	GO:0016071,GO:0034063	GO:0034314
100	GO:0000122,GO:0006355,GO:0006357,GO:0009615,GO:0043011,GO:0097028,GO:0140467	GO:0035195
