gene	GO	ONTOLOGY
NUDT4B	GO:0003723	MF
NUDT4B	GO:0005515	MF
NUDT4B	GO:0008486	MF
NUDT4B	GO:0016462	MF
NUDT4B	GO:0016787	MF
NUDT4B	GO:0016787	MF
NUDT4B	GO:0046872	MF
NUDT4B	GO:0005737	CC
TRBV20OR9-2	GO:0002376	BP
TRBV20OR9-2	GO:0005886	CC
IGKV3-7	GO:0002250	BP
IGKV3-7	GO:0002376	BP
IGKV3-7	GO:0005576	CC
IGKV3-7	GO:0005576	CC
IGKV3-7	GO:0005886	CC
IGKV3-7	GO:0005886	CC
IGKV3-7	GO:0019814	CC
IGKV1D-42	GO:0002250	BP
IGKV1D-42	GO:0002376	BP
IGKV1D-42	GO:0005576	CC
IGKV1D-42	GO:0005576	CC
IGKV1D-42	GO:0005886	CC
IGKV1D-42	GO:0019814	CC
IGLV4-69	GO:0002250	BP
IGLV4-69	GO:0002376	BP
IGLV4-69	GO:0005576	CC
IGLV4-69	GO:0005576	CC
IGLV4-69	GO:0005886	CC
IGLV4-69	GO:0019814	CC
IGLV8-61	GO:0002250	BP
IGLV8-61	GO:0002376	BP
IGLV8-61	GO:0005576	CC
IGLV8-61	GO:0005576	CC
IGLV8-61	GO:0005886	CC
IGLV8-61	GO:0019814	CC
IGLV4-60	GO:0002250	BP
IGLV4-60	GO:0002376	BP
IGLV4-60	GO:0005576	CC
IGLV4-60	GO:0005576	CC
IGLV4-60	GO:0005886	CC
IGLV4-60	GO:0019814	CC
IGLV11-55	GO:0002250	BP
IGLV11-55	GO:0002376	BP
IGLV11-55	GO:0005576	CC
IGLV11-55	GO:0005576	CC
IGLV11-55	GO:0005886	CC
IGLV11-55	GO:0019814	CC
IGLV10-54	GO:0002250	BP
IGLV10-54	GO:0002376	BP
IGLV10-54	GO:0005576	CC
IGLV10-54	GO:0005576	CC
IGLV10-54	GO:0005886	CC
IGLV10-54	GO:0019814	CC
IGLV1-50	GO:0002250	BP
IGLV1-50	GO:0002376	BP
IGLV1-50	GO:0005576	CC
IGLV1-50	GO:0005576	CC
IGLV1-50	GO:0005886	CC
IGLV1-50	GO:0005886	CC
IGLV1-50	GO:0019814	CC
IGLV5-48	GO:0002250	BP
IGLV5-48	GO:0002376	BP
IGLV5-48	GO:0005576	CC
IGLV5-48	GO:0005576	CC
IGLV5-48	GO:0005886	CC
IGLV5-48	GO:0019814	CC
IGLV7-46	GO:0002250	BP
IGLV7-46	GO:0002376	BP
IGLV7-46	GO:0005576	CC
IGLV7-46	GO:0005576	CC
IGLV7-46	GO:0005886	CC
IGLV7-46	GO:0019814	CC
IGLV5-37	GO:0002250	BP
IGLV5-37	GO:0002376	BP
IGLV5-37	GO:0005576	CC
IGLV5-37	GO:0005576	CC
IGLV5-37	GO:0005886	CC
IGLV5-37	GO:0019814	CC
IGLV2-33	GO:0002250	BP
IGLV2-33	GO:0002376	BP
IGLV2-33	GO:0005576	CC
IGLV2-33	GO:0005576	CC
IGLV2-33	GO:0005886	CC
IGLV2-33	GO:0019814	CC
IGLV3-22	GO:0002250	BP
IGLV3-22	GO:0002376	BP
IGLV3-22	GO:0005576	CC
IGLV3-22	GO:0005576	CC
IGLV3-22	GO:0005886	CC
IGLV3-22	GO:0019814	CC
IGLV2-18	GO:0002250	BP
IGLV2-18	GO:0002376	BP
IGLV2-18	GO:0005576	CC
IGLV2-18	GO:0005576	CC
IGLV2-18	GO:0005886	CC
IGLV2-18	GO:0005886	CC
IGLV2-18	GO:0019814	CC
IGLV3-16	GO:0002250	BP
IGLV3-16	GO:0002376	BP
IGLV3-16	GO:0005576	CC
IGLV3-16	GO:0005576	CC
IGLV3-16	GO:0005886	CC
IGLV3-16	GO:0005886	CC
IGLV3-16	GO:0019814	CC
IGLV3-12	GO:0002250	BP
IGLV3-12	GO:0002376	BP
IGLV3-12	GO:0005576	CC
IGLV3-12	GO:0005576	CC
IGLV3-12	GO:0005886	CC
IGLV3-12	GO:0005886	CC
IGLV3-12	GO:0019814	CC
IGLV3-10	GO:0002250	BP
IGLV3-10	GO:0002376	BP
IGLV3-10	GO:0005576	CC
IGLV3-10	GO:0005576	CC
IGLV3-10	GO:0005886	CC
IGLV3-10	GO:0005886	CC
IGLV3-10	GO:0019814	CC
IGLV3-9	GO:0002250	BP
IGLV3-9	GO:0002376	BP
IGLV3-9	GO:0005576	CC
IGLV3-9	GO:0005576	CC
IGLV3-9	GO:0005886	CC
IGLV3-9	GO:0005886	CC
IGLV3-9	GO:0019814	CC
IGLV4-3	GO:0002250	BP
IGLV4-3	GO:0002376	BP
IGLV4-3	GO:0005576	CC
IGLV4-3	GO:0005576	CC
IGLV4-3	GO:0005886	CC
IGLV4-3	GO:0019814	CC
TRGV11	GO:0002250	BP
TRGV11	GO:0002376	BP
TRGV11	GO:0005886	CC
TRGV11	GO:0042101	CC
TRBV7-3	GO:0002250	BP
TRBV7-3	GO:0002376	BP
TRBV7-3	GO:0005886	CC
TRBV7-3	GO:0042101	CC
TRBV19	GO:0002250	BP
TRBV19	GO:0002376	BP
TRBV19	GO:0005886	CC
TRBV19	GO:0042101	CC
TRBV19	GO:0042105	CC
TRBV20-1	GO:0002250	BP
TRBV20-1	GO:0002376	BP
TRBV20-1	GO:0005886	CC
TRBV20-1	GO:0042101	CC
TRBV24-1	GO:0002250	BP
TRBV24-1	GO:0002376	BP
TRBV24-1	GO:0005886	CC
TRBV24-1	GO:0042101	CC
TRBV25-1	GO:0002250	BP
TRBV25-1	GO:0002376	BP
TRBV25-1	GO:0005886	CC
TRBV25-1	GO:0042101	CC
IGKV2-28	GO:0002250	BP
IGKV2-28	GO:0002376	BP
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005576	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0005886	CC
IGKV2-28	GO:0019814	CC
IGHV3-64	GO:0002250	BP
IGHV3-64	GO:0002376	BP
IGHV3-64	GO:0005576	CC
IGHV3-64	GO:0005576	CC
IGHV3-64	GO:0005886	CC
IGHV3-64	GO:0005886	CC
IGHV3-64	GO:0019814	CC
TRGV2	GO:0002250	BP
TRGV2	GO:0002376	BP
TRGV2	GO:0045087	BP
TRGV2	GO:0005886	CC
TRGV2	GO:0042101	CC
IGHV4-4	GO:0002250	BP
IGHV4-4	GO:0002376	BP
IGHV4-4	GO:0005576	CC
IGHV4-4	GO:0005576	CC
IGHV4-4	GO:0005886	CC
IGHV4-4	GO:0005886	CC
IGHV4-4	GO:0019814	CC
IGKV2D-24	GO:0002250	BP
IGKV2D-24	GO:0002376	BP
IGKV2D-24	GO:0005576	CC
IGKV2D-24	GO:0005576	CC
IGKV2D-24	GO:0005886	CC
IGKV2D-24	GO:0005886	CC
IGKV2D-24	GO:0019814	CC
TRGJ1	GO:0002250	BP
TRGJ1	GO:0002376	BP
TRGJ1	GO:0005886	CC
TRGJ1	GO:0042101	CC
IGKV2D-29	GO:0002250	BP
IGKV2D-29	GO:0002376	BP
IGKV2D-29	GO:0005576	CC
IGKV2D-29	GO:0005576	CC
IGKV2D-29	GO:0005886	CC
IGKV2D-29	GO:0005886	CC
IGKV2D-29	GO:0019814	CC
IGKV1D-17	GO:0002250	BP
IGKV1D-17	GO:0002376	BP
IGKV1D-17	GO:0005576	CC
IGKV1D-17	GO:0005576	CC
IGKV1D-17	GO:0005886	CC
IGKV1D-17	GO:0005886	CC
IGKV1D-17	GO:0019814	CC
IGKV1-27	GO:0002250	BP
IGKV1-27	GO:0002376	BP
IGKV1-27	GO:0005576	CC
IGKV1-27	GO:0005576	CC
IGKV1-27	GO:0005886	CC
IGKV1-27	GO:0005886	CC
IGKV1-27	GO:0019814	CC
IGKV2D-30	GO:0002250	BP
IGKV2D-30	GO:0002376	BP
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005576	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0005886	CC
IGKV2D-30	GO:0019814	CC
IGKV1-37	GO:0002250	BP
IGKV1-37	GO:0002376	BP
IGKV1-37	GO:0005576	CC
IGKV1-37	GO:0005576	CC
IGKV1-37	GO:0005886	CC
IGKV1-37	GO:0005886	CC
IGKV1-37	GO:0019814	CC
TRAV12-2	GO:0002250	BP
TRAV12-2	GO:0002376	BP
TRAV12-2	GO:0005886	CC
TRAV12-2	GO:0042101	CC
TRAV6	GO:0002250	BP
TRAV6	GO:0002376	BP
TRAV6	GO:0005886	CC
TRAV6	GO:0042101	CC
TRAV9-1	GO:0002250	BP
TRAV9-1	GO:0002250	BP
TRAV9-1	GO:0002376	BP
TRAV9-1	GO:0019814	CC
TRAV9-1	GO:0005886	CC
TRAV9-1	GO:0042101	CC
TRAV7	GO:0002250	BP
TRAV7	GO:0002376	BP
TRAV7	GO:0005886	CC
TRAV7	GO:0042101	CC
TRAV8-7	GO:0002250	BP
TRAV8-7	GO:0002376	BP
TRAV8-7	GO:0005886	CC
TRAV8-7	GO:0042101	CC
TRAV36DV7	GO:0002250	BP
TRAV36DV7	GO:0002376	BP
TRAV36DV7	GO:0005886	CC
TRAV36DV7	GO:0042101	CC
TRAV23DV6	GO:0002250	BP
TRAV23DV6	GO:0002376	BP
TRAV23DV6	GO:0005886	CC
TRAV23DV6	GO:0042101	CC
TRAV18	GO:0002250	BP
TRAV18	GO:0002376	BP
TRAV18	GO:0005886	CC
TRAV18	GO:0042101	CC
TRAJ3	GO:0002250	BP
TRAJ3	GO:0002376	BP
TRAJ3	GO:0005886	CC
TRAJ3	GO:0042101	CC
TRAJ42	GO:0002250	BP
TRAJ42	GO:0002376	BP
TRAJ42	GO:0005886	CC
TRAJ31	GO:0002250	BP
TRAJ31	GO:0002376	BP
TRAJ31	GO:0005886	CC
TRDJ1	GO:0002250	BP
TRDJ1	GO:0002376	BP
TRDJ1	GO:0005886	CC
TRDJ1	GO:0042101	CC
AQP7B	GO:0015250	MF
AQP7B	GO:0015254	MF
AQP7B	GO:0015267	MF
AQP7B	GO:0055085	BP
AQP7B	GO:0071918	BP
AQP7B	GO:0005886	CC
AQP7B	GO:0016020	CC
AQP7B	GO:0016020	CC
PPIAL4E	GO:0003755	MF
PPIAL4E	GO:0003755	MF
PPIAL4E	GO:0003755	MF
PPIAL4E	GO:0003755	MF
PPIAL4E	GO:0003755	MF
PPIAL4E	GO:0016853	MF
PPIAL4E	GO:0006457	BP
PPIAL4E	GO:0005737	CC
PPIAL4H	GO:0003755	MF
PPIAL4H	GO:0003755	MF
PPIAL4H	GO:0003755	MF
PPIAL4H	GO:0003755	MF
PPIAL4H	GO:0003755	MF
PPIAL4H	GO:0016853	MF
PPIAL4H	GO:0006457	BP
PPIAL4H	GO:0005737	CC
IGHV4OR15-8	GO:0002250	BP
IGHV4OR15-8	GO:0002376	BP
IGHV4OR15-8	GO:0005576	CC
IGHV4OR15-8	GO:0005576	CC
IGHV4OR15-8	GO:0005886	CC
IGHV4OR15-8	GO:0005886	CC
IGHV4OR15-8	GO:0019814	CC
IGHV3OR16-12	GO:0002250	BP
IGHV3OR16-12	GO:0002376	BP
IGHV3OR16-12	GO:0005576	CC
IGHV3OR16-12	GO:0005576	CC
IGHV3OR16-12	GO:0005886	CC
IGHV3OR16-12	GO:0019814	CC
IGHV1OR15-1	GO:0002250	BP
IGHV1OR15-1	GO:0002376	BP
IGHV1OR15-1	GO:0005576	CC
IGHV1OR15-1	GO:0005576	CC
IGHV1OR15-1	GO:0005886	CC
IGHV1OR15-1	GO:0005886	CC
IGHV1OR15-1	GO:0019814	CC
IGKV1OR2-108	GO:0002250	BP
IGKV1OR2-108	GO:0002376	BP
IGKV1OR2-108	GO:0005576	CC
IGKV1OR2-108	GO:0005576	CC
IGKV1OR2-108	GO:0005886	CC
IGKV1OR2-108	GO:0005886	CC
IGKV1OR2-108	GO:0019814	CC
IGHV3OR15-7	GO:0002250	BP
IGHV3OR15-7	GO:0002376	BP
IGHV3OR15-7	GO:0005576	CC
IGHV3OR15-7	GO:0005576	CC
IGHV3OR15-7	GO:0005886	CC
IGHV3OR15-7	GO:0019814	CC
IGHV3OR16-13	GO:0002250	BP
IGHV3OR16-13	GO:0002376	BP
IGHV3OR16-13	GO:0005576	CC
IGHV3OR16-13	GO:0005576	CC
IGHV3OR16-13	GO:0005886	CC
IGHV3OR16-13	GO:0005886	CC
IGHV3OR16-13	GO:0019814	CC
IGHV3OR16-10	GO:0002250	BP
IGHV3OR16-10	GO:0002376	BP
IGHV3OR16-10	GO:0005576	CC
IGHV3OR16-10	GO:0005576	CC
IGHV3OR16-10	GO:0005886	CC
IGHV3OR16-10	GO:0005886	CC
IGHV3OR16-10	GO:0019814	CC
IGHV3OR16-8	GO:0002250	BP
IGHV3OR16-8	GO:0002376	BP
IGHV3OR16-8	GO:0005576	CC
IGHV3OR16-8	GO:0005576	CC
IGHV3OR16-8	GO:0005886	CC
IGHV3OR16-8	GO:0005886	CC
IGHV3OR16-8	GO:0019814	CC
IGLV5-45	GO:0002250	BP
IGLV5-45	GO:0002376	BP
IGLV5-45	GO:0005576	CC
IGLV5-45	GO:0005576	CC
IGLV5-45	GO:0005886	CC
IGLV5-45	GO:0019814	CC
IGHV4-30-2	GO:0002250	BP
IGHV4-30-2	GO:0002376	BP
IGHV4-30-2	GO:0005576	CC
IGHV4-30-2	GO:0005576	CC
IGHV4-30-2	GO:0005886	CC
IGHV4-30-2	GO:0005886	CC
IGHV4-30-2	GO:0019814	CC
IGKV3D-15	GO:0002250	BP
IGKV3D-15	GO:0002376	BP
IGKV3D-15	GO:0005576	CC
IGKV3D-15	GO:0005576	CC
IGKV3D-15	GO:0005886	CC
IGKV3D-15	GO:0005886	CC
IGKV3D-15	GO:0019814	CC
IGKV1D-8	GO:0002250	BP
IGKV1D-8	GO:0002376	BP
IGKV1D-8	GO:0005576	CC
IGKV1D-8	GO:0005576	CC
IGKV1D-8	GO:0005886	CC
IGKV1D-8	GO:0005886	CC
IGKV1D-8	GO:0019814	CC
TRAV30	GO:0002250	BP
TRAV30	GO:0002376	BP
TRAV30	GO:0005886	CC
TRAV30	GO:0042101	CC
TRAV27	GO:0005515	MF
TRAV27	GO:0002250	BP
TRAV27	GO:0002376	BP
TRAV27	GO:0006955	BP
TRAV27	GO:0050830	BP
TRAV27	GO:0005886	CC
TRAV27	GO:0042101	CC
TRAV27	GO:0042105	CC
TRAV9-2	GO:0002250	BP
TRAV9-2	GO:0002376	BP
TRAV9-2	GO:0005886	CC
TRAV9-2	GO:0042101	CC
TRAV26-1	GO:0002250	BP
TRAV26-1	GO:0002376	BP
TRAV26-1	GO:0005886	CC
TRAV26-1	GO:0042101	CC
TMEM265	GO:0016020	CC
TMEM265	GO:0016020	CC
NBPF19	GO:0005737	CC
ZNF892	GO:0001227	MF
ZNF892	GO:0008270	MF
ZNF892	GO:0043565	MF
ZNF892	GO:0046872	MF
ZNF892	GO:0000122	BP
ZNF892	GO:0006355	BP
ZNF892	GO:0005634	CC
ZNF892	GO:0005654	CC
TRBV16	GO:0002250	BP
TRBV16	GO:0002376	BP
TRBV16	GO:0005886	CC
TRBV16	GO:0042101	CC
TBC1D3D	GO:0005096	MF
TBC1D3D	GO:0005768	CC
TBC1D3D	GO:0005886	CC
TBC1D3D	GO:0016020	CC
LOC102724971	GO:0002250	BP
LOC102724971	GO:0002376	BP
LOC102724971	GO:0005576	CC
LOC102724971	GO:0005576	CC
LOC102724971	GO:0005886	CC
LOC102724971	GO:0005886	CC
LOC102724971	GO:0019814	CC
IGKV2-40	GO:0002250	BP
IGKV2-40	GO:0002376	BP
IGKV2-40	GO:0005576	CC
IGKV2-40	GO:0005576	CC
IGKV2-40	GO:0005886	CC
IGKV2-40	GO:0005886	CC
IGKV2-40	GO:0019814	CC
MEIKIN	GO:0007059	BP
MEIKIN	GO:0007060	BP
MEIKIN	GO:0010789	BP
MEIKIN	GO:0016321	BP
MEIKIN	GO:0045143	BP
MEIKIN	GO:0051321	BP
MEIKIN	GO:0051754	BP
MEIKIN	GO:0051754	BP
MEIKIN	GO:0000775	CC
MEIKIN	GO:0000776	CC
MEIKIN	GO:0000776	CC
MEIKIN	GO:0000776	CC
MEIKIN	GO:0000776	CC
MEIKIN	GO:0000779	CC
MEIKIN	GO:0000779	CC
TBC1D3I	GO:0005096	MF
TBC1D3I	GO:0005768	CC
TBC1D3I	GO:0005886	CC
TBC1D3I	GO:0016020	CC
IGHV1OR21-1	GO:0002250	BP
IGHV1OR21-1	GO:0002376	BP
IGHV1OR21-1	GO:0005576	CC
IGHV1OR21-1	GO:0005576	CC
IGHV1OR21-1	GO:0005886	CC
IGHV1OR21-1	GO:0005886	CC
IGHV1OR21-1	GO:0019814	CC
TRBV15	GO:0002376	BP
TRBV15	GO:0005886	CC
TRBV17	GO:0002250	BP
TRBV17	GO:0002376	BP
TRBV17	GO:0005886	CC
TRBV17	GO:0042101	CC
TRBV18	GO:0002250	BP
TRBV18	GO:0002376	BP
TRBV18	GO:0005886	CC
TRBV18	GO:0042101	CC
TBC1D3E	GO:0005096	MF
TBC1D3E	GO:0005768	CC
TBC1D3E	GO:0005886	CC
TBC1D3E	GO:0016020	CC
CYP2D7	GO:0004497	MF
CYP2D7	GO:0004497	MF
CYP2D7	GO:0004497	MF
CYP2D7	GO:0005506	MF
CYP2D7	GO:0016491	MF
CYP2D7	GO:0016705	MF
CYP2D7	GO:0016705	MF
CYP2D7	GO:0016712	MF
CYP2D7	GO:0016712	MF
CYP2D7	GO:0016712	MF
CYP2D7	GO:0020037	MF
CYP2D7	GO:0046872	MF
CYP2D7	GO:0070330	MF
CYP2D7	GO:0006805	BP
CYP2D7	GO:0042178	BP
CYP2D7	GO:0005737	CC
CYP2D7	GO:0005737	CC
CYP2D7	GO:0005739	CC
CYP2D7	GO:0005739	CC
CYP2D7	GO:0016020	CC
TBC1D3K	GO:0005096	MF
TBC1D3K	GO:0005768	CC
TBC1D3K	GO:0005886	CC
TBC1D3K	GO:0016020	CC
DEFB131B	GO:0006952	BP
DEFB131B	GO:0042742	BP
DEFB131B	GO:0045087	BP
DEFB131B	GO:0005576	CC
DEFB131B	GO:0005576	CC
NOTCH2NLR	GO:0005509	MF
NOTCH2NLR	GO:0009967	BP
NOTCH2NLR	GO:0048513	BP
NOTCH2NLR	GO:0048731	BP
NOTCH2NLR	GO:0005576	CC
SMIM26	GO:0005515	MF
SMIM26	GO:0005515	MF
SMIM26	GO:0019901	MF
SMIM26	GO:0044325	MF
SMIM26	GO:0005739	CC
SMIM26	GO:0005741	CC
SMIM26	GO:0005741	CC
CCDC187	GO:0008017	MF
CCDC187	GO:0034453	BP
CCDC187	GO:0005813	CC
UQCRHL	GO:0006122	BP
UQCRHL	GO:0022904	BP
UQCRHL	GO:0005739	CC
UQCRHL	GO:0005743	CC
UQCRHL	GO:0016020	CC
UQCRHL	GO:0098803	CC
OR4N4C	GO:0004930	MF
OR4N4C	GO:0004930	MF
OR4N4C	GO:0004984	MF
OR4N4C	GO:0007165	BP
OR4N4C	GO:0007186	BP
OR4N4C	GO:0007186	BP
OR4N4C	GO:0007608	BP
OR4N4C	GO:0050911	BP
OR4N4C	GO:0005886	CC
OR4N4C	GO:0016020	CC
OR4N4C	GO:0016020	CC
IGKV2D-26	GO:0002250	BP
IGKV2D-26	GO:0002376	BP
IGKV2D-26	GO:0005576	CC
IGKV2D-26	GO:0005576	CC
IGKV2D-26	GO:0005886	CC
IGKV2D-26	GO:0005886	CC
IGKV2D-26	GO:0019814	CC
IGKV3D-11	GO:0002250	BP
IGKV3D-11	GO:0002376	BP
IGKV3D-11	GO:0005576	CC
IGKV3D-11	GO:0005576	CC
IGKV3D-11	GO:0005886	CC
IGKV3D-11	GO:0005886	CC
IGKV3D-11	GO:0019814	CC
IGLV5-52	GO:0002250	BP
IGLV5-52	GO:0002376	BP
IGLV5-52	GO:0005576	CC
IGLV5-52	GO:0005576	CC
IGLV5-52	GO:0005886	CC
IGLV5-52	GO:0019814	CC
IGLV3-32	GO:0002250	BP
IGLV3-32	GO:0002376	BP
IGLV3-32	GO:0005576	CC
IGLV3-32	GO:0005576	CC
IGLV3-32	GO:0005886	CC
IGLV3-32	GO:0005886	CC
IGLV3-32	GO:0019814	CC
TRGV10	GO:0002250	BP
TRGV10	GO:0002376	BP
TRGV10	GO:0005886	CC
TRGV10	GO:0042101	CC
TRGV1	GO:0002250	BP
TRGV1	GO:0002376	BP
TRGV1	GO:0005886	CC
TRGV1	GO:0042101	CC
TRBV5-3	GO:0002250	BP
TRBV5-3	GO:0002376	BP
TRBV5-3	GO:0005886	CC
TRBV5-3	GO:0042101	CC
TRBV6-7	GO:0002250	BP
TRBV6-7	GO:0002376	BP
TRBV6-7	GO:0005886	CC
TRBV6-7	GO:0042101	CC
TRBV5-7	GO:0002250	BP
TRBV5-7	GO:0002376	BP
TRBV5-7	GO:0005886	CC
TRBV5-7	GO:0042101	CC
TRBV23-1	GO:0002250	BP
TRBV23-1	GO:0002376	BP
TRBV23-1	GO:0005886	CC
TRBV23-1	GO:0042101	CC
IGHV1-45	GO:0002250	BP
IGHV1-45	GO:0002376	BP
IGHV1-45	GO:0005576	CC
IGHV1-45	GO:0005576	CC
IGHV1-45	GO:0005886	CC
IGHV1-45	GO:0005886	CC
IGHV1-45	GO:0019814	CC
IGHV3-49	GO:0002250	BP
IGHV3-49	GO:0002376	BP
IGHV3-49	GO:0005576	CC
IGHV3-49	GO:0005576	CC
IGHV3-49	GO:0005886	CC
IGHV3-49	GO:0019814	CC
IGKV6D-21	GO:0002250	BP
IGKV6D-21	GO:0002376	BP
IGKV6D-21	GO:0005576	CC
IGKV6D-21	GO:0005576	CC
IGKV6D-21	GO:0005886	CC
IGKV6D-21	GO:0005886	CC
IGKV6D-21	GO:0019814	CC
TRBJ2-6	GO:0002250	BP
TRBJ2-6	GO:0002376	BP
TRBJ2-6	GO:0005886	CC
TRBJ2-6	GO:0042101	CC
IGLJ1	GO:0002250	BP
IGLJ1	GO:0002376	BP
IGLJ1	GO:0005576	CC
IGLJ1	GO:0005886	CC
IGLJ1	GO:0019814	CC
TRBJ2-7	GO:0002250	BP
TRBJ2-7	GO:0002376	BP
TRBJ2-7	GO:0005886	CC
TRBJ2-7	GO:0042101	CC
TRBJ2-4	GO:0002250	BP
TRBJ2-4	GO:0002376	BP
TRBJ2-4	GO:0005886	CC
TRBJ2-4	GO:0042101	CC
IGKJ1	GO:0002250	BP
IGKJ1	GO:0002376	BP
IGKJ1	GO:0005576	CC
IGKJ1	GO:0005886	CC
IGKJ1	GO:0019814	CC
TRBJ2-2	GO:0002250	BP
TRBJ2-2	GO:0002376	BP
TRBJ2-2	GO:0005886	CC
TRBJ2-2	GO:0042101	CC
TRBJ2-5	GO:0002250	BP
TRBJ2-5	GO:0002376	BP
TRBJ2-5	GO:0005886	CC
TRBJ2-5	GO:0042101	CC
TRBJ2-1	GO:0002250	BP
TRBJ2-1	GO:0002376	BP
TRBJ2-1	GO:0005886	CC
TRBJ2-1	GO:0042101	CC
TRAV14DV4	GO:0002250	BP
TRAV14DV4	GO:0002376	BP
TRAV14DV4	GO:0005886	CC
TRAV14DV4	GO:0005886	CC
TRAV14DV4	GO:0042101	CC
